KW,Volume,KD,Intent,CV距離,自社独自価値,Status,備考
ChatGPT 使い方 ビジネス,,,Commercial,2,ChatGPT×ビジネス活用の実践例,未着手,鉄板KW
ChatGPT 業務効率化,,,Commercial,2,業務別の具体的な使い方事例,未着手,経営者向け
Claude 使い方,,,Commercial,2,ChatGPTとの比較・使い分け,未着手,競合少ない可能性あり
Gemini ビジネス活用,,,Commercial,2,Googleサービスとの連携活用,未着手,
Copilot 使い方 中小企業,,,Commercial,2,Office連携の具体的手順,未着手,Office系ユーザーに刺さる
AIツール 比較 中小企業,,,Commercial,2,自社規模に合った選び方軸,未着手,まとめ記事・内部リンク起点
生成AI ビジネス活用 事例,,,Commercial,2,自社調査の導入事例,未着手,E-E-A-T高めやすい
AIライティングツール 比較,,,Commercial,3,日本語精度の比較レビュー,未着手,
AI議事録 自動作成,,,Transactional,1,複数ツールの実測比較,未着手,CV距離最短・競合少ない可能性
AI 文字起こし ツール,,,Transactional,1,精度・価格の実測比較,未着手,Vol高め・KD低めの可能性
中小企業 AI導入 方法,,,Commercial,2,導入ステップの具体的ロードマップ,未着手,ピラー記事候補
AI導入 費用 中小企業,,,Commercial,2,規模別の費用相場データ,未着手,予算感を知りたい層
AI 業務自動化 具体例,,,Informational,2,業種別の自動化事例,未着手,X一次情報が使いやすい
ChatGPT 社内導入 手順,,,Transactional,1,部署別の導入チェックリスト,未着手,再現性高い・E-E-A-T出しやすい
AI 導入効果 事例,,,Informational,2,数値付き導入効果の事例集,未着手,数値事例があると強い
生成AI 導入 失敗,,,Informational,2,失敗パターンと回避策,未着手,逆張りKW・検索意図明確
AI セキュリティ リスク 企業,,,Informational,2,社内規定のひな形も提供,未着手,懸念払拭系
AIツール 選び方 企業,,,Commercial,2,業種・規模別の選定フレーム,未着手,比較軸を提示できる
業務自動化 ツール 中小企業,,,Transactional,1,コスト別ツール比較,未着手,最優先カテゴリ
RPA AI 違い,,,Informational,3,図解で整理した比較記事,未着手,基礎知識・内部リンク先
Zapier 使い方 日本語,,,Transactional,1,日本語UIの手順スクショ付き,未着手,Vol・KDちょうどいい可能性
Make 使い方,,,Transactional,1,Zapierとの使い分け解説,未着手,差別化しやすい
ノーコード 業務自動化,,,Commercial,2,ツール別の自動化テンプレ,未着手,トレンドKW
Excel AI 自動化,,,Transactional,1,Copilot連携の具体的手順,未着手,Copilot連携で差別化
バックオフィス 自動化,,,Commercial,2,経理・人事別の自動化事例,未着手,経営者に刺さる
請求書 自動化 AI,,,Transactional,1,freee/MFとの連携手順,未着手,具体的なペインポイント
中小企業 DX 成功事例,,,Informational,2,業種別の成功事例インタビュー,未着手,事例記事の定番
AI マーケティング 自動化,,,Commercial,2,SNS・メール自動化の実践例,未着手,上位表示の現実性を要確認
AI カスタマーサポート 導入,,,Commercial,3,チャットボット導入の費用対効果,未着手,チャットボット系
社内FAQ AI 作り方,,,Transactional,1,Notion/Slackとの連携手順,未着手,具体的・再現性高い
AI 採用 活用,,,Commercial,3,採用業務の自動化事例,未着手,HR系・クラスターになりやすい
ChatGPT 営業 活用,,,Commercial,2,営業トーク・提案書への活用例,未着手,営業職ペルソナへの訴求
AI プレゼン 作成,,,Transactional,1,Copilot/Geminiでの作成手順,未着手,再現性高い
AI 経営 意思決定,,,Informational,2,データ活用の意思決定フレーム,未着手,経営者ペルソナに直撃
GPT-5 使い方,,,Informational,3,前バージョンとの比較解説,未着手,トレンド系・鮮度が命
AI エージェント とは,,,Informational,2,ビジネス活用の具体例付き解説,未着手,2025年最注目トピック
Claude 3.5 比較,,,Informational,3,用途別の使い分けガイド,未着手,バージョン比較系
生成AI 規制 日本,,,Informational,3,企業が取るべき対応まとめ,未着手,リスク・法規制系
AGI とは わかりやすく,,,Informational,4,図解で解説・ビジネス影響も,未着手,CV距離遠い
LLM ビジネス活用,,,Commercial,3,非エンジニア向けの活用事例,未着手,専門性アピールに使える
マルチモーダル AI 活用,,,Informational,2,画像・音声×ビジネスの活用例,未着手,2025年トレンド
AI 会議 効率化,,,Transactional,1,議事録〜タスク自動化の一連手順,未着手,AI議事録KWのクラスター
ChatGPT プロンプト ビジネス,,,Transactional,1,コピペで使えるプロンプト集,未着手,実用性高い・ブックマーク率高い
AI 社内研修 作り方,,,Transactional,2,研修資料の自動生成手順,未着手,導入後の活用支援KW
AI 翻訳 ビジネス 精度,,,Commercial,2,DeepL/ChatGPT比較・用途別推奨,未着手,グローバル対応の中小企業向け
